Series Name,"Series Code","Country Name","Country Code","1990 [YR1990]","2000 [YR2000]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Russian Federation","RUS","NA","10.6271205332605","12.0145065077043","11.0238562302845","11.6943481245069","12.3348810039402","12.7849790249662","12.3935564747819","11.8575277737052","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Rwanda","RWA","0.0750043049847439","0.0657946101419402","0.0559030235258575","0.0577020411836857","0.0576164832052646","0.0631154924686225","0.0683174569159483","0.0725767773074222","0.074016445670242","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Samoa","WSM","0.630432379993369","0.819042437431991","0.979060187657335","1.01185439278024","1.00436078515615","1.07470759065356","1.04663995686967","1.03806413395052","1.02978834052733","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","San Marino","SMR","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Sao Tome and Principe","STP","0.41855952516836","0.343931720127556","0.505299167829947","0.536698026496812","0.566490822538564","0.574250559284116","0.621562805854918","0.607752145205699","0.594339819936633","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Saudi Arabia","SAU","11.3802491790346","14.3002727468168","16.5829992710317","17.5896118641822","18.9053424973007","17.7023072439215","19.4195057841035","18.0683580838082","19.5292717983416","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Senegal","SEN","0.421270162317651","0.398455815489437","0.41736159837338","0.365212358587026","0.599610304214953","0.629136953787372","0.577471338918714","0.596523237433712","0.608809117433519","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Serbia","SRB","NA","NA","7.08782251746954","6.3083479731128","6.30257798326694","6.80367714071925","6.12060018249562","6.26511069310281","5.28252191688301","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Seychelles","SYC","2.16304832606788","7.05096695467824","7.97027232163393","6.00679282457788","4.9427091455943","3.90012694273853","4.98329615075366","4.48443006592625","5.41867796276229","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Sierra Leone","SLE","0.113099067168246","0.0931955129125033","0.107654006927725","0.103438844041291","0.11241639210246","0.135882766468855","0.152292538260207","0.172170095140492","0.184925701657908","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Singapore","SGP","14.6023795490317","12.1666243367801","7.46676196781582","11.2144225257455","10.9604087826578","8.72379741990645","6.84675846508862","10.3119819334926","10.306331909983","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Sint Maarten (Dutch part)","SXM","NA","NA","NA","NA","NA","NA","20.1134526558891","19.5335591553528","19.4613241342709","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Slovak Republic","SVK","NA","6.65932948826437","7.01055856847993","6.31907323733116","6.72195956247584","6.39539628896351","6.05902290100616","6.11280355961594","5.66158132774424","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Slovenia","SVN","NA","7.23840366026874","8.58644120958821","7.49160231390485","7.48585436860503","7.35063762791407","7.18548104448903","6.8695513926774","6.21368684468327","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Solomon Islands","SLB","0.470369420215495","0.364381290761956","0.370714621281049","0.376591568345156","0.375183311544364","0.366962310095735","0.359033309097766","0.357906561161854","0.350449345269538","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Somalia","SOM","0.0991436524472896","0.053307231809562","0.0528958924033509","0.0510524009672027","0.0508070745890954","0.0487761719828533","0.0476913728351234","0.04635286497488","0.0450467230932889","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","South Africa","ZAF","8.34133210331858","8.28076479529149","9.85421895195103","9.87059693646667","9.19069871601177","9.00403338726771","8.84503303913285","8.67396282312054","8.98011929723466","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","South Sudan","SSD","NA","NA","NA","NA","NA","NA","0.123043931841892","0.129587680239481","0.129749350683477","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Spain","ESP","5.62419000722509","7.25782434589112","7.16553160668603","6.21697337783496","5.81641636625128","5.78801845772827","5.66093880333453","5.08439835268284","5.03382448723757","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Sri Lanka","LKA","0.223239992491509","0.545112224308269","0.612029771432949","0.656312555771866","0.656664382487028","0.745132332402183","0.784926511627907","0.75246091814428","0.88554580906071","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","St. Kitts and Nevis","KNA","2.60427584855757","3.7984087803588","4.29851784153223","4.39584561568997","4.27680046651764","4.44219897704111","4.18360555988667","4.2070943594952","4.2989449003517","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","St. Lucia","LCA","1.16762311394146","2.10278498110851","2.34036165937832","2.25137701582253","2.3372928496929","2.34155391412398","2.32812079961106","2.31718661049755","2.30719132076113","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","St. Martin (French part)","MAF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","St. Vincent and the Grenadines","VCT","0.750420910655318","1.35943205620123","2.08266385746347","2.85296513596881","2.01271554681425","1.81101325211952","2.31434765110493","1.91199231613611","1.91134540998747","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Sudan","SDN","0.202623461089627","0.159133713745191","0.341440489486692","0.346451108240755","0.345245385884236","0.330142236762997","0.301083380638175","0.309100309482467","NA","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Suriname","SUR","4.34670603133467","4.64982958995745","3.77272162562992","3.84577205211489","4.5654273022583","3.70432608650668","4.20586247409589","3.53493014339956","3.6340194332102","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Sweden","SWE","6.06936831940328","5.56243008285854","5.32809827545271","4.63141135977089","5.54734805226545","5.47495712076762","4.94230082776452","4.67142078453361","4.47818217821374","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Switzerland","CHE","6.34508516765421","5.43548498451474","5.28304432392851","5.37797364121195","4.98342894466888","4.67203836308538","4.72357428746104","4.97283587573087","4.31156299409097","NA","NA","NA"
CO2 emissions (metric tons per capita),"EN.ATM.CO2E.PC","Syrian Arab Republic","SYR","3.00167786542544","3.11019716957954","3.32990621655823","2.99313259376651","2.93097133742052","2.72757822531861","2.19042754702691","1.83950323741953","1.59889845852933","NA","NA","NA"
