Country,Year,LE_both,LE_male,LE_female,Income Level,GDP per Capita,Surface area (sq. km),"Population, total",Population density (people per sq. km of land area),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","Mortality caused by road traffic injury (per 100,000 people)","Intentional homicides (per 100,000 people)",Individuals using the Internet (% of population),"Incidence of tuberculosis (per 100,000 people)","GNI, Atlas method (current US$)",GDP per capita growth (annual %),GDP growth (annual %),CO2 emissions (metric tons per capita),Access to electricity (% of population),CHE_in_USD
Fiji,2016,69.9,67.1,73.1,UM,3.7157952617157957,4.261738547352538,5.953643735569696,1.691905188217158,0.8841473313210428,0.7634279935629372,0.35369137801500766,46.5069783122217,1.7708520116421442,9.634609783433126,-0.358360745379144,0.380003448395996,0.12076297536880934,98.6460494995117,2.2427898094786767
Finland,2016,81.4,78.7,84.2,H,4.637820150162076,5.52945602113109,6.739991643547519,1.257275234406287,0.7947854314445716,0.6434526764861874,0.15160559135651286,87.70364995994551,0.6720978579357175,11.393610070025444,1.84224434095152,2.13538181526189,0.9375540604961922,100.0,3.6026567360725212
France,2016,82.9,80.1,85.7,H,4.566675718799562,5.739641161620325,7.825164865279365,2.086735529900628,1.0744264901426333,0.7075701760979364,0.1310367068912819,79.27,0.8864907251724818,12.41376519330777,0.7844693163397808,1.18765038087423,0.6602184994139391,100.0,3.6048845576636235
Gabon,2016,66.4,64.8,68.2,UM,3.849952480019581,5.427599698924868,6.296618248826202,0.8855543913652785,1.675728904360061,1.3560258571931227,0.9054092564487168,48.0522737506185,2.6857417386022635,10.152439884963567,-0.475678468739034,2.08238031633867,0.4422077749277584,91.39550018310551,2.2964457942063965
Gambia,2016,61.9,60.6,63.3,L,2.67422386562411,4.05307844348342,6.309310928834226,2.304130416330447,1.9779241148403732,1.4828735836087537,0.960399790761733,18.5,2.2405492482826,8.944733298559992,-0.83791997685988,2.21633366332313,-0.5723761441283793,47.7570877075195,1.503790683057181
Georgia,2016,72.6,68.3,76.8,LM,3.587237774566113,4.84323277809801,6.570461210112099,1.8133841860071611,1.3166977165825466,1.0644579892269184,-0.004532835502993277,59.26,1.9637878273455553,10.154099865922122,2.7881372868930603,2.848973396234,0.3822948284588407,100.0,2.448551739201578
Germany,2016,81.0,78.7,83.3,H,4.625647553847008,5.553130244496774,7.915656584068896,2.3729556146207855,1.1289739436767978,0.6232492903979004,0.0704785354866565,89.6471005903368,0.9084850188786497,12.55926458597926,1.12402999800132,1.94362542781317,0.948871002395359,100.0,3.661982963713096
Ghana,2016,63.4,62.5,64.4,LM,3.18112741404227,5.377561214917793,7.450352710616169,2.093294956865825,1.734340389763538,1.416640507338281,0.2262896827474907,34.66600065,2.1931245983544616,10.594749071820239,1.4276693700298,3.721902904505741,-0.270403255366558,79.3,1.900913067737669
Greece,2016,81.2,78.7,83.7,H,4.252404595441394,5.120442306873306,7.032456413955007,1.9222034966016042,1.0530136087111226,0.9084850188786497,-0.12473533834988897,69.0879154723892,0.6434526764861874,11.308284917776017,0.171446153123696,-0.24431474084669005,0.7910121756617989,100.0,3.1774787825423223
Grenada,2016,73.4,71.0,75.9,UM,3.9930729489062964,2.531478917042255,5.030668523656477,2.4991896066142223,1.2671354104246892,0.8195439355418687,1.0106950252476565,55.8564078225865,0.8061799739838872,8.989887303356346,3.206513434780529,3.6837890929887904,0.35707651684294217,92.34436798095699,2.663040974893974
Guatemala,2016,73.2,70.4,76.0,LM,3.6170777136485053,5.036987997806906,7.219649194081885,2.189616489145715,1.4551812881164023,1.2988530764097066,1.4354464903151916,34.5093260915602,1.380211241711606,10.798783784653212,1.0406436451333,3.09248795890571,0.06106702037719221,91.7792282104492,2.3510228525841237
Guinea,2016,59.8,59.4,60.2,L,2.874076503152271,5.390687877285511,7.0932789048952705,1.7028383982477444,1.6640862613368168,1.4487063199050798,0.9456940496174726,9.8,2.24551266781415,9.950784606411142,7.741824286271679,10.4541058171845,-0.6829973441904368,33.5,1.3996737214810382
Guinea-Bissau,2016,59.8,58.4,61.2,L,2.8121770624678137,4.557867961568022,6.259043615198054,1.810028298850268,1.7720637297521302,1.4281347940287887,0.9799968176508512,3.761413832337,2.5728716022004803,9.066306753944245,3.6191372284397696,6.26280564499115,-0.8034337424331295,14.6557903289795,1.5965970956264601
Guyana,2016,66.2,63.6,69.0,UM,3.6562174035039874,5.332377856457326,5.888349695010479,0.5942142758842307,1.2954367690470519,1.1846914308175989,1.2641275036166644,35.66,1.968482948553935,9.515434507630843,2.67630359964643,3.31613165474852,0.42034329511550667,84.24290466308591,2.265996370495079
Haiti,2016,63.5,61.3,65.7,L,2.8661706791508976,4.443262987458695,7.035323012713614,2.5950437994780255,1.3719548971090694,1.1846914308175989,1.001718290373476,12.2326016070408,2.27415784926368,9.930686227021184,0.17817590743042894,1.4527070267502902,-0.5677707845222054,38.69016647338871,1.72916478969277
Honduras,2016,75.2,72.9,77.5,LM,3.375681228014609,5.051113916777601,6.959655031901105,1.910863758052695,1.4697853748878646,1.2174839442139063,1.7521691348687636,30.0,1.6020599913279623,10.293467722760877,2.02116027397936,3.75214890971107,0.03149805721388494,87.57662963867192,2.24699069924155
Hungary,2016,76.0,72.3,79.4,H,4.1078910129391915,4.968623020956989,6.991847071452251,2.0350545510817564,1.3904172046568992,0.8750612633917001,0.31628479882134786,79.25940131616991,0.9444826721501687,11.088623957726107,2.51527497305646,2.21318749036379,0.6299775799284284,100.0,2.9511917579347062
Iceland,2016,82.4,80.9,83.9,H,4.781970148403075,5.012837224705172,5.525613554692646,0.5245291734004262,0.8632270691523733,0.5563025007672873,-0.5222310769457837,98.2400162999185,0.3222192947339193,10.265732254618094,5.99982697501132,7.48145023856483,0.7824480713191262,100.0,3.6410177624673286
India,2016,68.8,67.4,70.3,LM,3.234890140366877,6.51683392307752,9.121944188488438,2.6487215250571503,1.8796737385236033,1.3263358609287514,0.5083545396083637,29.547162885875398,2.3242824552976926,12.347263604641316,5.88983640263139,7.11268609726157,0.23804621146683155,84.5268173217773,1.801403710017355
Indonesia,2016,69.3,67.3,71.4,LM,3.5527028384357577,6.281245005809457,8.416832579432466,2.158777459374702,1.2239106246420612,1.1903316981702914,-0.30533520707569595,25.45,2.5921767573958667,11.949691512857907,3.84530203631144,5.0332795915301,0.25991943447031407,97.62,2.0484418035504044
Iran (Islamic Republic of),2016,75.7,74.6,76.9,UM,3.717596434077151,6.241832761594656,7.904593449723507,1.692736354582919,1.6897949828623509,1.4471580313422192,0.3925278508280125,53.2267726333568,1.146128035678238,11.642334849587373,12.1009990912715,13.396228065959498,0.9181887512839285,100.0,2.5634810853944106
Iraq,2016,69.8,67.5,72.2,UM,3.663663306276776,5.63853917299192,7.570572965870997,1.932763137223373,1.8648593680289924,1.250420002308894,0.9936327047405977,21.23,1.6334684555795864,11.304590988734349,7.75698623740327,11.0000000000001,0.682311149717902,100.0,2.1889284837608534
Ireland,2016,81.5,79.7,83.4,H,4.806860942549625,4.846831752823257,6.677181117178098,1.8390249324259504,0.9623045995749085,0.6020599913279624,-0.09578253028415917,85.01113211510192,0.8512583487190752,11.408859148382342,3.96126131252801,5.14146015448682,0.8641513818588026,100.0,3.677342280911539
Israel,2016,82.3,80.3,84.2,H,4.570319311854467,4.343802333161655,6.9317628884811775,2.5965056320466458,1.271484067673495,0.505149978319906,0.1348127078443661,79.65312418152809,0.5440680443502757,11.491059486677196,2.07359486192067,4.09433559145762,0.8955982918798118,100.0,3.440294971094914
Italy,2016,82.8,80.5,84.9,H,4.486699352535777,5.479056783934414,7.782669645965221,2.31411555788103,1.1898720701289656,0.7481880270062004,-0.17194417801037437,61.324252766630295,0.785329835010767,12.283779849467328,1.029750378768,0.8582626300083259,0.721882040183618,100.0,3.4314280993167827
Jamaica,2016,76.0,73.6,78.5,UM,3.6882930563833085,4.040997692423491,6.459596769229068,2.4249683126037476,1.1781603947573438,1.0,1.6722000292301,44.3668563671334,0.6532125137753437,10.125466110426377,1.04207219405505,1.3735273605527,0.41383858708138527,98.2042694091797,2.468790262099611
