Country,Year,LE_both,LE_male,LE_female,Income Level,GDP per Capita,Surface area (sq. km),"Population, total",Population density (people per sq. km of land area),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","Mortality caused by road traffic injury (per 100,000 people)","Intentional homicides (per 100,000 people)",Individuals using the Internet (% of population),"Incidence of tuberculosis (per 100,000 people)","GNI per capita, Atlas method (current US$)",GDP per capita growth (annual %),GDP growth (annual %),CO2 emissions (metric tons per capita),Access to electricity (% of population),CHE_in_USD
Ghana,2016,63.4,62.5,64.4,LM,1517.49550753102,238540.0,28206728.0,123.963821745627,54.2425864426318,26.1,1.6837968113426298,34.66600065,156.0,1390.0,1.4276693700298,3.721902904505741,0.5365333777801471,79.3,79.6
Greece,2016,81.2,78.7,83.7,H,17881.526697395602,131960.0,10775971.0,83.59946470131891,11.298313176257803,8.1,0.7503513386151759,69.0879154723892,4.4,18870.0,0.171446153123696,-0.24431474084669005,6.18033726778447,100.0,1504.8
Grenada,2016,73.4,71.0,75.9,UM,9841.76405036101,340.0,107317.0,315.638235294118,18.498452997828398,6.6,10.2493193520194,55.8564078225865,6.4,9100.0,3.206513434780529,3.6837890929887904,2.27549830763445,92.34436798095699,460.3
Guatemala,2016,73.2,70.4,76.0,LM,4140.73763497611,108890.0,16582469.0,154.744951474431,28.5220862023456,19.9,27.255019075076298,34.5093260915602,24.0,3790.0,1.0406436451333,3.09248795890571,1.1509779943039098,91.7792282104492,224.4
Guinea,2016,59.8,59.4,60.2,L,748.3013059317261,245860.0,12395924.0,50.447354712681104,46.140921243423904,28.1,8.824580102043301,9.8,176.0,720.0,7.741824286271679,10.4541058171845,0.20749262060619295,33.5,25.1
Guinea-Bissau,2016,59.8,58.4,61.2,L,648.898936629656,36130.0,1815698.0,64.5696301564723,59.1648448178729,26.8,9.549855882150279,3.761413832337,374.0,640.0,3.6191372284397696,6.26280564499115,0.157241166708388,14.6557903289795,39.5
Guyana,2016,66.2,63.6,69.0,UM,4531.24352689057,214970.0,773303.0,3.9283870967741903,19.7440739532873,15.3,18.3707760799041,35.66,93.0,4240.0,2.67630359964643,3.31613165474852,2.63234795184132,84.24290466308591,184.5
Haiti,2016,63.5,61.3,65.7,L,734.802591238931,27750.0,10847334.0,393.58976777938994,23.5480471708712,15.3,10.0396434711703,12.2326016070408,188.0,790.0,0.17817590743042894,1.4527070267502902,0.270538585794459,38.69016647338871,53.6
Honduras,2016,75.2,72.9,77.5,LM,2375.0963268650307,112490.0,9112867.0,81.444874430244,29.4975112127548,16.5,56.515703091121395,30.0,40.0,2160.0,2.02116027397936,3.75214890971107,1.07522179045218,87.57662963867192,176.6
Hungary,2016,76.0,72.3,79.4,H,12820.0881963053,93030.0,9814023.0,108.40630730144699,24.5706816292238,7.5,2.07149933788933,79.25940131616991,8.8,12500.0,2.51527497305646,2.21318749036379,4.2655749757664,100.0,893.7
